type,cue,movie
UNIT ,5533 - 5585,ut_306_swastik_f.mp4
UNIT ,5717 - 5770,ut_306_swastik_f.mp4
UNIT ,5824 - 5886,ut_803_ekchauk_f.mp4
UNIT ,6186 - 6300,ut_325_januas_f.mp4
UNIT ,6617 - 7022,ut_312_dhanu_f.mp4
UNIT ,7222 - 7803,ut_303_samapada_f.mp4
UNIT ,8119 - 8807,ut_313_prustha_f.mp4
UNIT ,9005 - 10220,ut_303_samapada_f.mp4
UNIT ,10273 - 10638,ut_802_vesht_f.mp4
UNIT ,10701 - 10800,ut_313_prustha_f.mp4
UNIT ,253 - 381,ut_313_prustha_f.mp4
UNIT ,1749 - end,ut_329_bandh_f.mp4
UNIT ,323 - 362,ut_313_prustha_f.mp4
UNIT ,420 - 862,ut_808_kunprush_f.mp4
UNIT ,2345 - 2408,ut_803_ekchauk_f.mp4
UNIT ,2414 - end,ut_315_kunchi_f.mp4
UNIT ,0 - 434,ut_315_kunchi_f.mp4
UNIT ,2303 - 2419,ut_309_chaukapada_f.mp4
UNIT ,2802 - end,ut_330_ekapada_f.mp4
UNIT ,0 - 498,ut_311_trasya_f.mp4
UNIT ,558 - 671,ut_808_kunprush_f.mp4
UNIT ,1573 - 1696,ut_801_ardhabh_f.mp4
UNIT ,1870 - 1991,ut_801_ardhabh_f.mp4
UNIT ,2953 - 3066,ut_309_chaukapada_f.mp4
UNIT ,3737 - 3795,ut_803_ekchauk_f.mp4
UNIT ,3844 - 3983,ut_803_ekchauk_f.mp4
UNIT ,3985 - end,ut_309_chaukapada_f.mp4
